Node,Str,file,rank
pos_216.14734_4.603,359.2882308354716,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,36
pos_454.02951_9.9,359.15036306484063,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,37
pos_317.96238_1.347,358.94621293473426,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,38
pos_331.13286_9.031,358.84617799240453,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,39
pos_112.02721_2.994,354.6589083484465,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,40
pos_303.29244_15.711,351.446915797251,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,41
pos_312.14707_9.965,350.0063004143209,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,42
pos_2150.09026_8.834,349.9863393077294,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,43
pos_764.39205_5.529,342.03096408728646,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,44
pos_188.11603_4.489,341.3787338562472,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,45
pos_278.16281_9.311,340.35618769048875,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,46
pos_175.06662_6.156,328.3232067604575,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,47
pos_868.46445_6.615,328.31120775959624,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,48
pos_2429.32298_6.741,328.1102002328814,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,49
pos_244.17854_7.944,326.8669782911903,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,50
pos_371.23587_14.303,320.3858041265019,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,51
pos_232.13223_9.433,315.5577364542555,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,52
pos_329.15836_5.54,312.35176878340604,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,53
pos_319.11658_6.326,310.28600958160246,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,54
pos_353.24108_11.739,310.21460225114765,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,55
pos_278.16283_8.993,309.4600446630306,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,56
pos_354.07435_7.558,304.23783410562675,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,57
pos_228.14729_6.201,303.65008422756415,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,58
pos_729.47412_6.396,303.2381600755115,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,59
pos_306.1148_4.698,300.1111319310262,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,60
pos_143.11832_1.314,989.8039048340278,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,1
pos_286.23656_1.675,967.8872965827259,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,2
pos_504.20297_11.73,846.1838158029916,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,3
pos_244.22611_1.022,828.8821702669256,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,4
